,dishwaser_6_Trans_Init_Bi_gradTruth,dishwaser_6_Trans_Init_Bi_predicted,dishwaser_6_Trans_V7_predicted
0,0,-0.20180377,-0.33598158
1,1,-0.20586285,-0.3180966
2,0,-0.20755467,-0.3196058
3,0,-0.32262906,-0.3543844
4,0,-0.42317733,-0.29885718
5,0,-0.440173,-0.25946686
6,0,-0.42035422,-0.24724075
7,0,-0.3747891,-0.22563002
8,0,-0.34769997,-0.2130861
9,0,-0.33056602,-0.21732733
10,0,-0.31397566,-0.21635887
11,0,-0.27783093,-0.21950385
12,0,-0.27534732,-0.22651336
13,0,-0.27219853,-0.22966
14,1,-0.21630153,-0.23154661
15,1,-0.2543274,-0.19828841
16,1,-0.31198224,-0.19438335
17,0,-0.3036233,-0.1790218
18,0,-0.30111393,-0.2542269
19,0,-0.20191464,-0.22306821
20,0,-0.22858772,-0.24389264
21,0,-0.22559866,-0.23978588
22,0,-0.22876772,-0.25265333
23,0,-0.22742519,-0.2585456
24,0,-0.22886428,-0.2656257
25,0,-0.17459926,-0.26687023
26,0,-0.0629445,-0.26283953
27,0,-0.18942079,-0.28827617
28,1,-0.23586497,-0.2852883
29,1,-0.2854856,-0.23250243
30,0,-0.30712923,-0.23961684
31,0,-0.24968895,-0.2500026
32,1,-0.22543392,-0.25577876
33,0,-0.1611503,-0.2512624
34,0,-0.11219916,-0.26819608
35,0,0.004465491,-0.27923414
36,1,-0.27473983,-0.2287614
37,0,0.047837406,-0.2218189
38,1,0.054519087,-0.22453782
39,1,0.060599953,-0.22841021
40,0,0.059693962,-0.22689387
41,1,0.056638867,-0.22478434
42,0,0.05876556,-0.22333857
43,1,0.062140614,-0.22475907
44,0,0.05989948,-0.2276642
45,0,0.050249487,-0.23384091
46,0,-0.9464475,245.89566
47,0,0.0925993,843.72986
48,0,0.31516066,867.56665
49,0,0.3128895,724.2253
50,0,0.31820717,584.2669
51,0,0.34258214,460.21658
52,0,0.37020436,359.70023
53,0,0.37753335,299.72937
54,1,0.3791398,280.893
55,0,0.3863429,268.81827
56,0,0.38660803,266.73712
57,0,0.38145867,272.3115
58,0,0.3828391,273.23083
59,1,0.38385192,270.4655
60,0,0.38365307,267.48096
61,0,0.3883957,260.26907
62,1,0.39312306,258.3334
63,0,0.39158145,258.10822
64,0,0.41014805,253.99623
65,0,0.40139332,251.48346
66,0,0.40165225,251.87352
67,1,0.40056792,250.62608
68,0,0.4100789,253.93661
69,0,0.43153706,252.63445
70,0,0.4537348,256.80087
71,0,0.4621295,259.12503
72,0,0.4631833,261.694
73,0,0.4678115,259.42682
74,0,0.47002354,259.0459
75,0,0.47220793,258.51852
76,0,0.4799241,258.6767
77,0,0.4682397,258.85422
78,0,0.48113957,258.15543
79,0,0.48419896,258.03424
80,0,0.48123494,259.40714
81,0,0.48010388,261.4496
82,0,0.48858204,263.24094
83,0,0.48995772,265.79138
84,0,0.49471274,267.3101
85,1,0.49926892,267.48862
86,0,0.5059198,265.88867
87,0,0.51125324,262.35434
88,0,0.5176467,257.7585
89,0,0.5207747,254.06355
90,0,0.52630174,253.48187
91,0,0.53343046,255.57373
92,0,0.5642494,261.87308
93,0,0.64671934,265.95108
94,0,0.46276608,291.12997
95,0,0.17142764,301.9
96,0,0.1981701,292.32315
97,0,0.15783158,287.07736
98,0,0.13391629,280.0384
99,0,0.122264296,272.23038
100,0,0.110301405,269.00327
101,0,0.098029524,267.5916
102,0,0.09218255,266.7634
103,0,0.089233786,265.77313
104,0,0.08494797,268.2471
105,0,0.08179036,267.06778
106,0,0.081465155,267.43668
107,0,0.080058485,266.57315
108,0,0.07869473,265.93878
109,0,0.07574502,269.5826
110,0,0.07351723,267.66602
111,0,0.07162514,266.6741
112,0,0.0692772,267.1207
113,0,0.0691742,266.30984
114,0,0.06873265,266.90787
115,0,0.06768456,266.50946
116,0,0.06453982,268.30606
117,0,0.06196156,268.39813
118,0,0.059026152,266.7104
119,0,0.061756045,266.12555
120,0,0.062050253,269.38052
121,0,0.063595206,268.1951
122,0,0.06526223,266.4373
123,0,0.06701985,267.16302
124,0,0.069515616,268.1534
125,0,0.07063237,266.5365
126,0,0.0728859,267.03763
127,0,0.07708588,266.27646
128,0,0.08164826,266.69507
129,0,0.084198385,268.52777
130,0,0.096083075,266.7953
131,0,0.12718049,266.7176
132,0,-0.24364623,267.40515
133,0,-0.037668318,267.20496
134,0,-0.051121324,266.57657
135,0,-0.044073194,266.82172
136,0,-0.041153044,267.31943
137,1,-0.03943929,267.50766
138,0,-0.037391275,267.13022
139,0,-0.034296602,266.77365
140,0,0.21667853,86.692154
141,0,0.11233416,197.55055
142,0,0.040647894,282.1114
143,0,0.039387614,314.61252
144,0,0.0448412,302.0601
145,0,0.05087605,285.5655
146,0,0.049515635,279.2679
147,0,0.047084242,279.17776
148,0,0.023039252,678.9072
149,0,0.14233437,814.3106
150,0,0.15174904,800.255
151,0,0.15269127,759.0249
152,0,0.15332547,695.30304
153,0,0.15515748,663.442
154,0,0.15332356,650.7649
155,0,0.15414372,627.32947
156,0,0.15419903,591.96564
157,0,0.15468732,549.72784
158,0,0.15611783,503.4416
159,0,0.156917,465.9084
160,0,0.15686837,433.22742
161,0,0.1567091,406.01617
162,0,0.15604153,384.58246
163,1,0.15707055,375.01968
164,0,0.15670052,376.36758
165,0,0.15790501,375.3272
166,0,0.15714303,374.37943
167,0,0.15798703,371.55887
168,0,0.15835133,367.88287
169,0,0.15812913,368.85425
170,0,0.1579403,372.00903
171,0,0.15944234,368.77063
172,0,0.15804806,368.78265
173,0,0.15931454,368.59805
174,0,0.15990964,367.59128
175,0,0.16114178,369.06317
176,0,0.16155759,369.64746
177,0,0.1610817,369.3989
178,0,0.1615471,369.29788
179,1,0.16196385,367.69507
180,0,0.16179028,367.0226
181,0,0.16099492,367.48398
182,0,0.15977326,368.63565
183,0,0.15917149,368.2344
184,0,0.15668812,369.43893
185,0,0.15359917,368.7177
186,0,0.12662831,370.78305
187,0,0.06778088,371.90228
188,0,0.25171795,368.56375
189,0,0.14926234,395.36685
190,0,0.1527504,400.39386
191,0,0.14907447,404.16174
192,0,0.15015832,409.21542
193,0,0.14173785,410.8438
194,0,0.12322798,414.4599
195,0,0.55985105,126.62844
196,0,0.093862444,232.33208
197,0,0.08139792,286.66846
198,0,0.06577912,307.16406
199,0,0.058244616,291.1783
200,0,0.05980578,264.41324
201,0,0.051089674,238.38013
202,0,0.04574147,228.8915
203,0,0.043816,228.57692
204,0,0.026866823,611.4002
205,0,0.14500752,741.7373
206,0,0.15155068,703.396
207,0,0.15463296,673.5118
208,0,0.15654126,621.36755
209,0,0.1554226,589.97516
210,0,0.15609208,559.6155
211,0,0.1565508,510.06885
212,0,0.15515652,455.87537
213,0,0.15681687,410.54724
214,0,0.15610638,383.9018
215,0,0.15646496,375.75162
216,0,0.15694752,369.46497
217,0,0.15861931,359.837
218,0,0.15800324,355.1702
219,0,0.15840474,354.7278
220,0,0.15688553,356.86456
221,0,0.15869465,356.67126
222,0,0.15802327,357.0151
223,0,0.15864506,354.4268
224,0,0.15876427,353.89365
225,0,0.15903416,354.14655
226,0,0.15838376,355.22974
227,0,0.1586813,354.6431
228,0,0.1605877,352.29745
229,0,0.15948239,354.24695
230,0,0.15964833,353.477
231,0,0.15936032,352.81082
232,0,0.15837517,356.39307
233,0,0.15918484,355.67328
234,0,0.16007558,353.96594
235,0,0.1611208,353.09567
236,0,0.15841141,355.17004
237,0,0.15892258,352.9634
238,0,0.15869561,351.52676
239,0,0.15621701,353.66324
240,1,0.153397,351.73395
241,0,0.12698784,352.30322
242,0,0.06628075,356.8398
243,0,0.23310032,350.47794
244,0,0.14704266,380.83356
245,0,0.15770379,390.71393
246,0,0.15575638,403.36456
247,0,0.15766993,406.67276
248,0,0.15560427,411.0163
249,0,0.14332,417.0015
250,0,0.20120803,129.58032
251,1,0.3294219,234.70743
252,0,0.09802142,294.18246
253,0,0.06764832,318.57837
254,0,0.05494681,303.58063
255,0,0.04961577,277.1015
256,0,0.052409083,265.54886
257,0,0.046123415,251.96234
258,0,0.0440692,241.75986
259,0,0.04603854,228.0698
260,0,0.03549996,595.0058
261,0,0.14515439,716.59045
262,0,0.1478695,695.5714
263,0,0.1544241,667.8987
264,0,0.1553587,610.89716
265,0,0.15661088,569.0362
266,0,0.15603104,524.5621
267,0,0.15560094,475.8239
268,1,0.15632287,427.6191
269,0,0.055869013,573.91125
270,0,0.14357033,501.09302
271,0,0.161405,433.6287
272,1,0.16556397,370.60062
273,0,0.16588059,319.2623
274,0,0.16736355,301.15723
275,1,0.1673378,282.36932
276,0,0.16803399,266.5892
277,1,0.16860047,252.11406
278,0,0.16828671,237.75256
279,0,0.16966477,240.88716
280,0,0.16840878,235.54218
281,0,0.16936246,234.83981
282,0,0.17087403,238.66397
283,0,0.17000905,234.00275
284,0,0.17177525,237.95334
285,0,0.18052903,237.30945
286,0,0.18368092,232.15564
287,0,0.18480721,234.90164
288,0,0.18622628,236.73691
289,0,0.18516007,232.49277
290,0,0.18670121,236.79866
291,1,0.18605366,233.59232
292,0,0.18608895,233.3304
293,0,0.18506375,235.62386
294,0,0.18226376,232.02835
295,0,0.18124047,236.06674
296,0,0.15118638,232.08604
297,0,0.093726546,235.24438
298,0,0.27689305,238.75418
299,1,0.18453446,249.39166
300,0,0.19141951,256.0304
301,0,0.19117442,257.93506
302,0,0.1879262,249.49632
303,1,0.40402165,52.152958
304,0,0.18416205,158.54785
305,0,0.23910037,260.37924
306,0,0.22740641,342.296
307,0,0.32389536,381.67334
308,0,0.1811103,401.36008
309,0,0.16036502,431.18655
310,0,0.14341536,449.08832
311,0,0.13918772,462.51755
312,1,0.13307515,470.3059
313,0,0.04792729,818.6952
314,1,0.15165558,856.1444
315,0,0.15627804,856.10175
316,0,0.158461,798.13586
317,0,0.11445847,719.1901
318,0,0.12134352,668.53784
319,0,0.11856881,628.8811
320,0,0.11744586,591.5329
321,0,0.117741495,537.15656
322,0,0.11558762,466.59195
323,0,0.11673346,411.66943
324,0,0.118169695,379.1644
325,0,0.11495152,349.25327
326,0,0.11710444,341.65198
327,1,0.114672095,331.63638
328,0,0.11595479,330.1346
329,1,0.11683121,327.31232
330,0,0.11587277,320.65308
331,1,0.11775389,316.3528
332,0,0.11784926,314.15735
333,0,0.11480799,301.3416
334,1,0.11410752,290.70547
335,0,0.11779347,285.33456
336,0,0.113933474,273.8019
337,0,0.117863566,269.60416
338,0,0.11647549,261.3346
339,1,0.11637774,251.77959
340,0,0.11622992,249.53671
341,0,0.11315623,241.70769
342,0,0.11826363,249.23645
343,0,0.11360732,242.57452
344,0,0.116191775,242.49525
345,0,0.11656228,243.40395
346,0,0.11647788,246.01363
347,0,0.114860445,243.91904
348,1,0.12063113,243.93158
349,0,0.14540902,241.67628
350,0,0.06784192,244.58308
351,0,0.046054274,243.44458
352,0,0.17835227,260.86948
353,0,0.17902699,258.9681
354,0,0.18712655,255.3372
355,0,0.19764796,51.129467
356,0,0.14434472,164.59038
357,0,0.21109429,258.84714
358,0,0.2100195,326.22357
359,0,0.20662919,362.46082
360,0,0.42354003,390.0955
361,0,0.19481125,422.432
362,1,0.16207972,440.39597
363,0,0.06688586,810.1602
364,0,0.11425772,865.3173
365,0,0.11265364,863.7221
366,0,0.115362555,805.1665
367,0,0.1174759,728.98376
368,0,0.118757635,680.70123
369,0,0.116948515,645.59766
370,0,0.119393736,609.191
371,0,0.11709252,552.53143
372,0,0.118169695,490.2947
373,0,0.11559287,430.2027
374,0,0.11620656,387.4118
375,0,0.116770655,360.2673
376,0,0.117880255,347.27032
377,0,0.11797801,340.05856
378,0,0.11860266,338.58237
379,0,0.11579886,325.95114
380,0,0.11631432,326.4215
381,0,0.11694613,325.41232
382,0,0.11636153,317.94952
383,0,0.11605874,312.92157
384,0,0.11830655,308.56058
385,0,0.11672583,295.1178
386,1,0.1176776,290.78067
387,0,0.116983324,285.01227
388,1,0.110655695,303.89462
389,1,0.12206641,295.8189
390,1,0.11955109,290.0787
391,0,0.117994696,277.7516
392,1,0.12010279,262.98413
393,0,0.11769572,249.7378
394,1,0.11871901,239.98462
395,1,0.1199812,241.0286
396,1,0.11655083,239.28107
397,0,0.11802426,236.58478
398,2,0.11807576,237.23813
399,0,0.11998406,237.34889
400,2,0.124687105,238.10275
401,1,0.1476349,236.87582
402,1,0.07046309,236.61452
403,1,0.062541395,238.11809
404,1,0.17752972,46.89108
405,1,0.17002097,169.8265
406,0,0.23586026,282.5221
407,2,0.23587409,379.0077
408,1,0.2245225,428.3902
409,0,0.21999446,447.53992
410,0,0.43140927,486.81522
411,0,0.21671334,515.1401
412,1,0.19568291,540.3495
413,1,0.08157292,886.4802
414,1,0.112745196,934.1443
415,0,0.111875445,951.6461
416,1,0.11431828,924.81354
417,0,0.115811735,860.9097
418,2,0.112442404,799.03235
419,1,0.112595946,732.7664
420,0,0.11304608,684.2004
421,1,0.11120978,636.6775
422,0,0.113088995,594.18317
423,0,0.1134862,548.9747
424,1,0.11322728,490.4664
425,1,0.112538725,435.259
426,1,0.11219016,391.14774
427,0,0.11243859,361.87634
428,0,0.11180201,343.11383
429,0,0.112840086,335.68423
430,0,0.11173573,331.53094
431,1,0.11239615,328.9689
432,0,0.11200848,326.08072
433,2,0.11207238,317.71448
434,1,0.11732951,313.27176
435,0,0.114647776,309.1042
436,1,0.11522284,302.29
437,1,0.11190453,293.30582
438,0,0.11083308,278.5959
439,0,0.03088656,239.37024
440,1,0.10967389,253.95518
441,1,0.06231442,564.1474
442,0,0.10221663,633.5965
443,1,0.103820235,607.46796
444,1,0.10751763,558.7839
445,1,0.10554877,507.42105
446,0,0.110829264,462.2252
447,1,0.111277014,423.2538
448,1,0.064264685,360.2965
449,0,0.21701232,66.12444
450,1,0.17131701,222.5663
451,1,0.18207827,344.5392
452,1,0.07969895,425.89062
453,1,0.2691864,461.57736
454,1,0.26726905,486.00217
455,1,0.27248946,527.14404
456,1,0.27457276,567.83716
457,2,0.2728447,618.78925
458,1,0.1919221,967.76624
459,1,0.1460227,993.56396
460,0,0.3948144,1000.53973
461,1,0.13841668,977.5927
462,1,0.1027278,927.1166
463,0,0.09642592,881.32245
464,1,0.09206,824.19885
465,1,0.08591071,755.5795
466,1,0.09091416,696.15027
467,1,0.08784905,652.24963
468,1,0.0893406,615.6946
469,0,0.09085265,584.05646
470,1,0.09215775,540.70245
471,0,0.090108305,486.1565
472,0,0.08806506,436.65216
473,2,0.08827296,396.96786
474,0,0.09053984,372.0374
475,0,0.08719292,359.43094
476,1,0.08821955,350.6772
477,0,0.09111348,346.85678
478,0,0.09105912,345.15598
479,2,0.08845034,343.48557
480,1,0.087068945,341.84875
481,1,0.086759,340.3276
482,1,0.08538142,338.57925
483,1,0.08840838,338.73798
484,1,0.08259717,338.81293
485,1,0.077239424,336.7093
486,1,0.08985606,336.32996
487,1,0.09492245,336.50092
488,1,0.0830535,329.79068
489,1,0.1056017,318.19348
490,1,-0.08903894,248.17683
491,0,0.27956858,44.573624
492,0,0.16075984,216.65097
493,1,0.18093005,353.7207
494,1,0.1845068,439.80356
495,1,0.15516129,473.82144
496,0,0.15020409,509.26288
497,1,0.12683001,527.61884
498,0,0.26825276,589.40295
499,1,0.26969567,648.92694
500,1,0.27516022,706.2916
501,0,0.21090594,1027.708
502,0,0.19568387,1018.48816
503,0,0.12659732,973.2654
504,0,0.14914504,939.2802
505,0,0.39438477,897.5056
506,0,0.13049784,867.28955
507,0,0.10317698,843.67554
508,0,0.090949446,809.63324
509,0,0.0874199,763.2808
510,0,0.089158446,722.5299
511,0,0.09402457,698.7167
512,0,0.091002375,683.7259
513,0,0.09106436,670.43567
514,0,0.091551214,654.1069
515,0,0.09325448,638.4267
516,0,0.090723425,625.25555
517,0,0.08981791,616.8357
518,0,0.090079695,606.9451
519,0,0.09063092,592.1292
520,0,0.08989325,572.78735
521,0,0.08989897,548.7699
522,0,0.090763,522.2177
523,0,0.088177115,493.44772
524,0,0.091896445,465.33453
