,dishwaser_6_Trans_V7_gradTruth,dishwaser_6_Trans_V7_predicted
0,0.0,-0.33598158
1,1.0,-0.3180966
2,0.0,-0.3196058
3,0.0,-0.3543844
4,0.0,-0.29885718
5,0.0,-0.25946686
6,0.0,-0.24724075
7,0.0,-0.22563002
8,0.0,-0.2130861
9,0.0,-0.21732733
10,0.0,-0.21635887
11,0.0,-0.21950385
12,0.0,-0.22651336
13,0.0,-0.22966
14,1.0,-0.23154661
15,1.0,-0.19828841
16,1.0,-0.19438335
17,0.0,-0.1790218
18,0.0,-0.2542269
19,0.0,-0.22306821
20,0.0,-0.24389264
21,0.0,-0.23978588
22,0.0,-0.25265333
23,0.0,-0.2585456
24,0.0,-0.2656257
25,0.0,-0.26687023
26,0.0,-0.26283953
27,0.0,-0.28827617
28,1.0,-0.2852883
29,1.0,-0.23250243
30,0.0,-0.23961684
31,0.0,-0.2500026
32,1.0,-0.25577876
33,0.0,-0.2512624
34,0.0,-0.26819608
35,0.0,-0.27923414
36,1.0,-0.2287614
37,0.0,-0.2218189
38,1.0,-0.22453782
39,1.0,-0.22841021
40,0.0,-0.22689387
41,1.0,-0.22478434
42,0.0,-0.22333857
43,1.0,-0.22475907
44,0.0,-0.2276642
45,0.0,-0.23384091
46,0.0,245.89566
47,0.0,843.72986
48,0.0,867.56665
49,0.0,724.2253
50,0.0,584.2669
51,0.0,460.21658
52,0.0,359.70023
53,0.0,299.72937
54,1.0,280.893
55,0.0,268.81827
56,0.0,266.73712
57,0.0,272.3115
58,0.0,273.23083
59,1.0,270.4655
60,0.0,267.48096
61,0.0,260.26907
62,1.0,258.3334
63,0.0,258.10822
64,0.0,253.99623
65,0.0,251.48346
66,0.0,251.87352
67,1.0,250.62608
68,0.0,253.93661
69,0.0,252.63445
70,0.0,256.80087
71,0.0,259.12503
72,0.0,261.694
73,0.0,259.42682
74,0.0,259.0459
75,0.0,258.51852
76,0.0,258.6767
77,0.0,258.85422
78,0.0,258.15543
79,0.0,258.03424
80,0.0,259.40714
81,0.0,261.4496
82,0.0,263.24094
83,0.0,265.79138
84,0.0,267.3101
85,1.0,267.48862
86,0.0,265.88867
87,0.0,262.35434
88,0.0,257.7585
89,0.0,254.06355
90,0.0,253.48187
91,0.0,255.57373
92,0.0,261.87308
93,0.0,265.95108
94,0.0,291.12997
95,0.0,301.9
96,0.0,292.32315
97,0.0,287.07736
98,0.0,280.0384
99,0.0,272.23038
100,0.0,269.00327
101,0.0,267.5916
102,0.0,266.7634
103,0.0,265.77313
104,0.0,268.2471
105,0.0,267.06778
106,0.0,267.43668
