,microwave_11_Trans_Init_Bi_gradTruth,microwave_11_Trans_Init_Bi_predicted
0,4,4.3369346
1,4,4.31261
2,4,4.2911477
3,4,4.3393674
4,4,4.361094
5,4,4.384436
6,4,4.3898425
7,4,4.39201
8,4,4.3883386
9,4,4.3816524
10,4,4.37695
11,4,4.36439
12,4,4.3575788
13,4,4.3545804
14,4,4.340526
15,4,4.4138885
16,4,4.4144225
17,4,4.3816485
18,4,4.3470387
19,4,4.2084403
20,4,4.332647
21,4,4.298493
22,4,4.2862735
23,4,4.319677
24,4,4.308388
25,4,4.270847
26,4,4.28624
27,4,4.290931
28,4,4.267898
29,4,4.376307
30,4,4.3677135
31,4,4.0943065
32,4,4.294719
33,4,4.271403
34,4,4.2003894
35,4,4.2256474
36,4,4.187164
37,4,4.041411
38,4,4.002915
39,4,4.003361
40,4,4.0301414
41,4,4.0213456
42,4,4.016088
43,4,4.018378
44,4,4.023957
45,4,4.022694
46,4,4.628244
47,4,4.374942
48,4,4.0217276
49,4,3.773747
50,4,4.512166
51,4,4.466886
52,4,4.385668
53,4,4.379276
54,4,4.468228
55,4,4.4649997
56,4,4.422902
57,4,4.455128
58,4,4.4611297
59,4,4.4530373
60,4,4.469906
61,4,4.4913487
62,4,4.458652
63,4,4.470852
64,4,4.473113
65,4,4.492817
66,4,4.455116
67,4,4.479586
68,4,4.486773
69,4,4.5338025
70,4,4.468614
71,4,4.473916
72,3,4.4822407
73,4,4.47447
74,4,4.4423923
75,4,4.4731812
76,4,4.463295
77,4,4.4790435
78,4,4.4191
79,4,4.4577374
80,4,4.449902
81,4,4.486431
82,4,4.4696646
83,4,4.4509435
84,4,4.4617743
85,4,4.477734
86,4,4.4788995
87,4,4.4641733
88,4,4.4550295
89,4,4.4682446
90,3,4.451049
91,4,4.4721904
92,4,4.4801764
93,3,4.419507
94,4,4.3941574
95,4,4.400291
96,3,4.376915
97,4,4.380227
98,4,4.4318423
99,4,4.4097185
100,4,4.406423
101,4,4.4017377
102,4,4.3804083
103,4,4.368402
104,4,4.3940344
105,4,4.440745
106,4,4.37758
107,4,4.3836174
108,4,4.3681555
109,3,4.4022665
110,4,4.4551287
111,3,4.371928
112,4,4.364981
113,4,4.3867927
114,4,4.3862257
115,4,4.413304
116,4,4.385324
117,4,4.4460483
118,4,4.3933964
119,4,4.361459
120,4,4.3981347
121,4,4.4535713
122,4,4.376428
123,3,4.3553057
124,4,4.428567
125,4,4.4174933
126,4,4.3638053
127,4,4.373327
128,4,4.373179
129,4,4.4379153
130,4,4.4296474
131,4,4.367648
132,4,4.398788
133,4,4.4307117
134,4,4.3844366
135,4,4.3620024
136,4,4.3865094
137,4,4.4210997
138,4,4.424011
139,4,4.376116
140,4,4.090384
141,4,4.757591
142,4,4.42676
143,4,4.5293612
144,4,4.4994216
145,4,4.5125422
146,4,4.4947085
147,4,4.5111136
148,3,4.336388
149,4,4.044934
150,4,3.8799462
151,4,4.5664525
152,4,4.481609
153,4,4.4542317
154,4,4.4421406
155,4,4.5170193
156,4,4.4693336
157,4,4.475401
158,4,4.496436
159,4,4.483451
160,4,4.468397
161,4,4.508468
162,4,4.5252657
163,4,4.4700484
164,4,4.471687
165,3,4.5244293
166,4,4.4938493
167,4,4.5066614
168,3,4.473602
169,4,4.46634
170,4,4.499318
171,4,4.5140586
172,4,4.4680877
173,4,4.5066447
174,4,4.4677286
175,4,4.4675
176,4,4.5051494
177,3,4.512314
178,3,4.501811
179,4,4.4776554
180,4,4.4655776
181,4,4.467616
182,4,4.506642
183,4,4.496626
184,4,4.4872665
185,4,4.4674706
186,4,4.482742
187,4,4.494841
188,4,4.3787913
189,4,4.4502716
190,4,4.419741
191,4,4.4130416
192,4,4.4262466
193,4,4.482773
194,4,4.4375496
195,4,4.069492
196,4,4.7579036
197,4,4.4458585
198,4,4.5473876
199,4,4.510081
200,4,4.5368
201,4,4.516107
202,4,4.523888
203,4,4.5177684
204,4,4.2981277
205,4,4.0526834
206,4,3.8867478
207,4,4.589447
208,4,4.486043
209,4,4.4445224
210,4,4.4525948
211,4,4.4986196
212,3,4.4804378
213,4,4.4933553
214,4,4.4668818
215,4,4.503316
216,4,4.505695
217,4,4.4738865
218,4,4.461623
219,4,4.4959764
220,4,4.478392
221,4,4.4807806
222,4,4.480202
223,4,4.503911
224,4,4.472845
225,4,4.4857373
226,4,4.494761
227,4,4.481925
228,4,4.464934
229,4,4.472866
230,4,4.514411
231,4,4.477982
232,4,4.4835405
233,4,4.5055265
234,4,4.4635835
235,4,4.482708
236,4,4.492009
237,3,4.49138
238,4,4.4651303
239,4,4.4977555
240,4,4.487191
241,4,4.464614
242,4,4.5003724
243,4,4.406786
244,4,4.4171677
245,4,4.4268646
246,3,4.4487
247,4,4.461386
248,4,4.4184904
249,4,4.454559
250,4,4.113846
251,4,4.7223973
252,4,4.4471374
253,4,4.552052
254,4,4.514258
255,4,4.5424514
256,4,4.5171866
257,4,4.5299
258,4,4.526378
259,4,4.525538
260,4,4.286749
261,4,4.0654197
262,4,3.891974
263,4,4.609746
264,4,4.4989905
265,4,4.430705
266,4,4.4565773
267,4,4.4821563
268,3,4.4827275
269,3,4.2064614
270,4,4.526364
271,3,4.2783513
272,3,4.260058
273,4,4.2880216
274,4,4.2752633
275,4,4.2923303
276,3,4.284639
277,3,4.264295
278,3,4.2862816
279,4,4.262327
280,4,4.2954006
