,microwave_11_Trans_V7_gradTruth,microwave_11_Trans_V7_predicted
0,4.0,3.9385457
1,4.0,3.9163864
2,4.0,3.8683097
3,4.0,3.775848
4,4.0,3.7342503
5,4.0,3.7137485
6,4.0,3.7046087
7,4.0,3.6728828
8,4.0,3.7800121
9,4.0,3.8124597
10,4.0,3.7633257
11,4.0,3.7985523
12,4.0,3.8334298
13,4.0,3.8272164
14,4.0,3.8833086
15,4.0,3.9095485
16,4.0,3.804182
17,4.0,3.7952616
18,4.0,3.8722765
19,4.0,3.9068575
20,4.0,3.949495
21,4.0,3.9362175
22,4.0,3.906617
23,4.0,3.889363
24,4.0,3.8757908
25,4.0,3.8921244
26,4.0,3.925391
27,4.0,3.9191396
28,4.0,3.92251
29,4.0,3.9283342
30,4.0,3.8521745
31,4.0,3.8899221
32,4.0,3.9743333
33,4.0,4.0131164
34,4.0,4.033921
35,4.0,4.0714955
36,4.0,4.2124662
37,4.0,4.320882
38,4.0,4.310235
39,4.0,4.3380523
40,4.0,4.33607
41,4.0,4.3380375
42,4.0,4.3257475
43,4.0,4.3471184
44,4.0,4.3300953
45,4.0,4.31131
46,4.0,5.083748
47,4.0,29.195631
48,4.0,1050.617
49,4.0,1588.1915
50,4.0,1631.2285
51,4.0,1639.551
52,4.0,1645.0668
53,4.0,1618.0464
54,4.0,1584.1608
55,4.0,1571.8682
56,4.0,1568.2458
57,4.0,1554.4799
58,4.0,1529.0637
59,4.0,1493.0931
60,4.0,1437.5945
61,4.0,1411.8022
62,4.0,1405.8262
63,4.0,1403.516
64,4.0,1401.4822
65,4.0,1422.2733
66,4.0,1428.814
67,4.0,1431.4535
68,4.0,1423.7262
69,4.0,1428.47
70,4.0,1466.9233
71,4.0,1494.2192
72,3.0,1491.93
73,4.0,1500.5824
74,4.0,1505.5791
75,4.0,1502.445
76,4.0,1496.0493
77,4.0,1485.9047
78,4.0,1480.2205
79,4.0,1480.5182
80,4.0,1480.3766
81,4.0,1481.0211
82,4.0,1488.8052
83,4.0,1495.867
84,4.0,1506.1478
85,4.0,1516.8923
86,4.0,1527.5112
87,4.0,1535.6891
88,4.0,1540.8152
89,4.0,1536.3082
90,3.0,1530.901
91,4.0,1525.253
92,4.0,1358.2394
93,3.0,1165.5032
94,4.0,139.16653
95,4.0,213.6431
96,3.0,204.23767
97,4.0,1068.2533
98,4.0,1459.7532
99,4.0,1547.4988
100,4.0,1534.3953
101,4.0,1485.4012
102,4.0,1471.582
103,4.0,1470.1388
104,4.0,1465.7275
105,4.0,1470.3746
106,4.0,1468.4106
107,4.0,1470.6989
108,4.0,1471.0452
109,3.0,1466.3147
110,4.0,1469.0553
111,3.0,1469.9923
112,4.0,1469.0387
113,4.0,1469.8159
114,4.0,1467.706
115,4.0,1470.1007
116,4.0,1468.0718
117,4.0,1466.476
118,4.0,1470.0583
119,4.0,1470.2144
120,4.0,1465.9631
121,4.0,1468.563
122,4.0,1471.353
123,3.0,1470.0028
124,4.0,1467.5704
125,4.0,1470.7598
126,4.0,1470.6364
127,4.0,1472.0919
128,4.0,1469.3411
129,4.0,1467.6923
130,4.0,1471.5328
131,4.0,1470.5927
132,4.0,1469.6259
133,4.0,1469.4471
134,4.0,1472.0225
135,4.0,1471.6001
136,4.0,1468.2311
137,4.0,1466.978
138,4.0,1468.9033
139,4.0,1474.3488
140,4.0,211.00743
141,4.0,22.668657
142,4.0,9.144004
143,4.0,6.242774
144,4.0,6.1585093
145,4.0,5.651372
146,4.0,5.173634
147,4.0,5.013493
148,3.0,3.0447824
149,4.0,4.080517
150,4.0,3.747813
151,4.0,4.696882
152,4.0,4.7209377
153,4.0,4.8951125
154,4.0,4.846884
155,4.0,4.929151
156,4.0,5.384819
157,4.0,5.765096
158,4.0,5.9111586
159,4.0,5.96287
160,4.0,5.975698
161,4.0,5.9223795
162,4.0,5.854114
163,4.0,5.8001037
164,4.0,5.7554307
165,3.0,5.7593284
166,4.0,5.929316
167,4.0,6.1773243
168,3.0,6.4029264
169,4.0,6.4887004
170,4.0,6.40937
171,4.0,6.1648088
172,4.0,6.100034
173,4.0,6.1177535
174,4.0,6.1003275
175,4.0,6.1777964
176,4.0,6.2335043
177,3.0,6.240306
178,3.0,6.2460666
179,4.0,6.225164
180,4.0,6.2446675
181,4.0,6.302923
182,4.0,6.2904825
183,4.0,6.2850842
184,4.0,6.294224
185,4.0,6.1970606
186,4.0,5.9680796
187,4.0,6.3845606
188,4.0,5.3280144
189,4.0,5.026399
190,4.0,5.638319
191,4.0,6.2706366
192,4.0,6.6851935
193,4.0,6.6509776
194,4.0,6.6724496
195,4.0,4.138254
196,4.0,4.3992467
197,4.0,4.3662424
198,4.0,4.411899
199,4.0,4.8129683
200,4.0,4.8680334
201,4.0,4.6269875
202,4.0,4.5641646
203,4.0,4.597776
204,4.0,6.5603533
205,4.0,7.4548373
206,4.0,6.588063
207,4.0,5.63251
208,4.0,5.2845397
209,4.0,5.8390784
210,4.0,6.887348
211,4.0,6.8879404
212,3.0,6.579513
213,4.0,6.2487307
214,4.0,6.3142495
215,4.0,6.6595316
216,4.0,6.7919893
217,4.0,6.631233
218,4.0,6.480303
219,4.0,6.5314736
220,4.0,6.614545
221,4.0,6.660124
222,4.0,6.651463
223,4.0,6.613769
224,4.0,6.585644
225,4.0,6.6087513
226,4.0,6.6436524
227,4.0,6.643872
228,4.0,6.5950418
229,4.0,6.6147394
230,4.0,6.6461387
231,4.0,6.620767
232,4.0,6.659974
233,4.0,6.6518836
234,4.0,6.6089272
235,4.0,6.604089
236,4.0,6.6650047
237,3.0,6.6340847
238,4.0,6.5772576
239,4.0,6.6574426
240,4.0,6.69932
241,4.0,6.8101525
242,4.0,6.8220644
243,4.0,7.0923743
244,4.0,6.9210296
245,4.0,6.8673015
246,3.0,6.827307
247,4.0,6.865153
248,4.0,6.8475046
249,4.0,6.82706
250,4.0,4.2034016
251,4.0,4.4176087
252,4.0,4.3633504
253,4.0,4.4192057
254,4.0,4.8095603
255,4.0,4.8561134
256,4.0,4.633097
257,4.0,4.5914955
258,4.0,4.6378927
259,4.0,4.753343
260,4.0,6.420367
261,4.0,7.497184
262,4.0,6.6142864
263,4.0,5.851287
264,4.0,5.273154
265,4.0,5.8296824
266,4.0,6.899376
267,4.0,6.8909903
268,3.0,6.574642
269,3.0,5.5022683
270,4.0,6.906862
271,3.0,6.744753
272,3.0,6.8723254
273,4.0,6.784202
274,4.0,6.628501
275,4.0,6.7989945
276,3.0,6.7946734
277,3.0,6.887183
278,3.0,6.8209295
279,4.0,6.7724442
280,4.0,6.889337
281,4.0,6.5646405
282,4.0,6.796132
283,3.0,6.907897
284,3.0,6.669583
285,3.0,6.7885046
286,4.0,6.797119
287,3.0,6.6544037
288,4.0,6.827831
289,3.0,6.8837104
290,4.0,6.8066998
291,4.0,6.8273654
292,4.0,6.636319
293,3.0,6.892324
294,3.0,6.9155755
295,3.0,6.8060827
296,3.0,6.7605476
297,4.0,6.835687
298,4.0,6.803397
299,4.0,6.801969
300,4.0,6.7918997
301,3.0,6.699244
302,4.0,6.76628
303,4.0,4.761461
304,4.0,4.928601
305,4.0,4.8456993
306,4.0,4.664063
307,4.0,4.644995
308,4.0,4.812233
309,4.0,4.868236
310,4.0,4.780421
311,4.0,4.779039
312,3.0,4.783026
313,4.0,5.4260545
314,4.0,7.2563596
315,4.0,6.7066126
316,3.0,6.860415
317,3.0,6.232211
318,4.0,6.7067175
319,3.0,7.04339
320,4.0,6.9504323
321,3.0,6.9496975
322,3.0,6.7777405
323,3.0,6.7485137
324,4.0,6.9665637
325,4.0,6.8929677
326,4.0,7.051292
327,3.0,7.019488
328,3.0,6.891115
329,3.0,6.958025
330,4.0,7.0965495
331,3.0,7.085095
332,3.0,6.974712
333,4.0,6.9557924
334,3.0,7.0806513
335,4.0,6.908527
336,3.0,7.0762243
337,4.0,7.0705333
338,4.0,6.892035
339,4.0,7.0890126
340,3.0,6.9745355
341,3.0,7.0900116
342,3.0,6.998295
343,3.0,6.883653
344,3.0,7.073964
345,3.0,6.9994764
346,4.0,7.0328465
347,3.0,6.925332
348,3.0,7.0868115
349,4.0,7.098955
350,3.0,7.065442
351,3.0,7.0906096
352,4.0,7.049471
353,3.0,6.8951845
354,4.0,6.9504256
355,4.0,4.6898513
356,4.0,4.9156723
357,4.0,4.835972
358,4.0,4.653661
359,4.0,4.63935
360,4.0,4.8799114
361,4.0,4.865057
362,3.0,4.7815137
363,3.0,5.460668
364,4.0,6.7746863
365,4.0,5.414186
366,3.0,6.5604043
367,3.0,6.2315207
368,3.0,6.3166046
