,refrigerator_5_Trans_Init_Bi_gradTruth,refrigerator_5_Trans_Init_Bi_predicted
0,200,6.600243
1,199,8.199176
2,199,6.93758
3,199,6.637377
4,199,6.901708
5,200,6.654962
6,200,6.652672
7,197,6.664712
8,201,6.660006
9,197,6.671085
10,200,6.669717
11,198,6.6800313
12,199,6.682806
13,196,6.6754966
14,241,6.6573887
15,237,6.9008136
16,240,6.701862
17,197,6.711022
18,200,6.6184354
19,198,6.7113457
20,200,6.693244
21,198,6.688861
22,198,6.679692
23,200,6.684957
24,197,6.6609964
25,196,6.675348
26,201,6.6875014
27,196,6.7099943
28,240,6.715316
29,198,7.0516663
30,198,6.4349995
31,201,6.710069
32,196,6.7614636
33,196,6.7377167
34,200,6.743163
35,196,6.829578
36,200,6.807703
37,198,6.9185386
38,199,6.9112573
39,199,6.924461
40,197,6.917344
41,200,6.924991
42,196,6.9158745
43,200,6.9248476
44,199,6.917754
45,198,6.922848
46,197,7.6148176
47,198,8.289116
48,197,7.9897437
49,199,7.7818713
50,195,7.826905
51,199,7.5404334
52,195,7.42399
53,199,7.38875
54,199,7.287992
55,195,7.2372375
56,199,7.3663564
57,196,7.332184
58,198,7.31297
59,196,7.3460145
60,196,7.333507
61,197,7.3022327
62,197,7.386645
63,195,7.384035
64,197,7.325808
65,195,7.305274
66,197,7.3334174
67,194,7.3711324
68,195,7.3592086
69,196,7.257127
70,194,7.3787003
71,197,7.430528
72,193,7.381953
73,198,7.330057
74,194,7.4180017
75,195,7.375616
76,195,7.376446
77,196,7.3261375
78,193,7.3700595
79,197,7.3740745
80,196,7.401381
81,194,7.331849
82,193,7.35492
83,197,7.3795056
84,193,7.338835
85,195,7.3122663
86,193,7.330693
87,194,7.342687
88,195,7.37984
89,191,7.4041243
90,196,7.447985
91,194,7.403561
92,194,7.4088445
93,194,7.1645303
94,194,7.2251015
95,191,7.2513976
96,195,7.2490463
97,192,7.258369
98,194,7.2116127
99,193,7.230465
100,194,7.246727
101,192,7.2734885
102,193,7.2563105
103,194,7.3060346
104,190,7.312921
105,194,7.206613
106,192,7.231579
107,193,7.2728457
108,190,7.3103466
109,193,7.274646
110,191,7.1529303
111,191,7.267916
112,193,7.3232574
113,190,7.249317
114,193,7.286068
115,193,7.26996
116,192,7.250447
117,194,7.159242
118,189,7.2583404
119,192,7.329992
120,190,7.2664223
121,192,7.1461353
122,191,7.265767
123,189,7.344371
124,191,7.20085
125,191,7.219089
126,193,7.326471
127,189,7.2733526
128,191,7.290913
129,191,7.24026
130,188,7.1937494
131,193,7.292285
132,189,7.2738132
133,189,7.197473
134,191,7.276765
135,189,7.3049607
136,191,7.247416
137,191,7.227303
138,190,7.2362933
139,190,7.288419
140,192,7.7482376
141,190,7.8644404
142,188,7.3903527
143,191,7.572966
144,192,7.8613276
145,188,7.8535457
146,190,7.841662
147,187,7.7776914
148,191,8.128087
149,189,8.140151
150,187,7.9328814
151,191,7.8667784
152,190,7.6957164
153,188,7.5880766
154,190,7.578786
155,187,7.5202565
156,188,7.523054
157,191,7.488265
158,188,7.4859343
159,189,7.5494123
160,190,7.5817723
161,188,7.486936
162,189,7.4664893
163,190,7.5099497
164,187,7.484973
165,188,7.4318833
166,190,7.4885
167,190,7.449083
168,189,7.513095
169,186,7.5602355
170,187,7.470102
171,189,7.4417243
172,188,7.5521226
173,189,7.460327
174,189,7.503817
175,186,7.503219
176,188,7.449771
177,190,7.45158
178,187,7.443137
179,189,7.4536724
180,191,7.4956927
181,186,7.470511
182,187,7.3680058
183,190,7.363068
184,187,7.3118544
185,187,7.2894516
186,189,7.2153153
187,185,6.439652
188,187,7.0034165
189,188,6.988846
190,188,6.846965
191,185,6.857358
192,187,6.920066
193,186,6.850393
194,188,6.877295
195,190,7.63113
196,187,7.85202
197,186,7.3267007
198,188,7.499839
199,189,7.8754396
200,187,7.855543
201,186,7.7830367
202,189,7.7985616
203,189,7.80868
204,185,8.130201
205,185,8.121621
206,187,7.925675
207,186,7.858858
208,186,7.672338
209,186,7.603421
210,188,7.4949174
211,186,7.521928
212,185,7.5348663
213,187,7.4673414
214,188,7.5269494
215,184,7.48221
216,184,7.448391
217,187,7.4946575
218,185,7.569653
219,185,7.4905844
220,189,7.495228
221,187,7.4824247
222,184,7.508125
223,184,7.4685206
224,188,7.4966936
225,186,7.4861073
226,184,7.488968
227,186,7.4830747
228,188,7.497898
229,185,7.5080247
230,186,7.4491487
231,185,7.469618
232,185,7.459142
233,184,7.3967257
234,187,7.4449253
235,185,7.4435325
236,187,7.4279
237,185,7.351637
238,183,7.389688
239,185,7.320145
240,186,7.2447853
241,185,7.207104
242,184,6.4114
243,185,6.9613853
244,186,6.984007
245,185,6.7993803
246,184,6.811679
247,186,6.847079
248,187,6.86893
249,184,6.8696966
250,184,7.3448563
251,186,7.7751966
252,187,7.3679705
253,185,7.471013
254,184,7.837523
255,184,7.820874
256,185,7.8000293
257,187,7.81432
258,184,7.7849035
259,186,7.792886
260,186,8.128752
261,183,8.119486
262,183,7.9244566
263,186,7.8515306
264,185,7.709253
265,182,7.6006365
266,185,7.5429473
267,187,7.558767
268,181,7.5019226
269,180,7.225139
270,185,7.174961
271,185,7.41935
272,178,7.365985
273,183,7.259165
274,183,7.33269
275,183,7.289531
276,180,7.3087397
277,183,7.349061
278,185,7.301904
279,181,7.321224
280,182,7.2532325
281,181,7.3014684
282,181,7.3425956
283,180,7.2734227
284,184,7.261323
285,185,7.2478375
286,184,7.2297163
287,180,7.309002
288,182,7.2626934
289,182,7.185235
290,184,7.239128
291,179,7.2008076
292,184,7.151282
293,184,7.1351953
294,184,7.0760617
295,182,7.0315046
296,180,6.977736
297,182,6.3328447
298,186,6.802833
299,179,6.608809
300,180,6.5309253
301,182,6.534401
302,182,6.5598
303,180,7.1522675
304,184,7.0848365
305,185,6.845638
306,183,6.9879436
307,183,7.3828897
308,180,7.420837
309,183,7.315813
310,181,7.3348074
311,181,7.3690763
312,179,7.3705688
313,182,7.435932
314,178,7.757266
315,184,7.7178574
316,183,7.58237
317,184,7.2780647
318,181,7.136768
319,181,6.9698834
320,183,7.1142683
321,184,7.053538
322,182,7.038947
323,181,7.0669966
324,181,7.043088
325,184,6.953353
326,182,7.1039968
327,178,7.0371394
328,180,7.0355425
329,179,7.0213246
330,183,7.0034323
331,181,7.035569
332,180,7.024685
333,179,6.925042
334,180,7.0469356
335,184,7.0127764
336,183,6.9494557
337,182,7.0580053
338,182,6.9814467
339,179,6.895969
340,182,6.983912
341,183,6.943924
342,183,6.9714327
343,179,6.859468
344,179,6.9527445
345,181,6.9329143
346,181,6.8307314
347,183,6.800145
348,177,6.8172016
349,180,6.7467284
350,181,6.5605793
351,182,6.6848297
352,182,6.712915
353,181,6.6954
354,179,6.7442155
355,183,7.268764
356,184,7.1136923
357,183,6.940959
358,184,7.0943017
359,179,7.2340035
360,179,7.346231
361,183,7.374471
362,182,7.3040967
363,182,7.364881
364,180,7.8008413
365,181,7.7437844
366,181,7.6891203
367,180,7.403492
368,178,7.1721063
369,180,7.078834
370,182,7.099107
371,182,6.965668
372,180,7.0674987
373,178,7.0268054
374,181,7.090557
375,182,7.0483932
376,180,7.037581
377,180,6.983092
378,180,7.014835
379,181,6.9953427
380,182,7.1270356
381,181,7.052138
382,179,6.937792
383,179,7.006313
384,180,7.0511136
385,183,6.950791
386,180,7.0065784
387,6,7.0055623
388,5,7.1334105
389,5,7.0787625
390,5,6.966372
391,6,6.95141
392,5,7.031026
393,6,6.991223
394,5,7.0743585
395,5,6.964203
396,5,6.8841357
397,6,7.0028734
398,2,6.9289927
399,5,6.8731084
400,4,6.8297534
401,5,6.795453
402,6,6.5429173
403,5,6.645471
404,6,6.59383
405,5,6.1297016
406,6,6.1917663
407,3,6.1454887
408,5,6.1315665
409,6,6.1353917
410,5,6.221293
411,5,6.1767497
412,6,6.1332397
413,4,7.0891056
414,5,7.703393
415,5,7.6347594
416,4,7.6249385
417,6,7.2274604
418,3,7.157228
419,5,7.163991
420,6,7.167989
421,5,7.053865
422,6,7.1165104
423,6,6.9833174
424,5,7.054532
425,5,7.077862
426,5,7.025323
427,6,6.9396095
428,6,7.060314
429,6,7.050675
430,6,6.9531426
431,5,7.013758
432,6,6.9835753
433,3,7.0013056
434,5,6.982212
435,6,6.944029
436,4,6.9924116
437,4,6.9747047
438,7,6.9895816
439,6,7.420876
440,5,7.405928
441,4,6.9215865
442,6,6.918183
443,4,7.103678
444,5,7.159923
445,5,6.935025
446,6,6.8414655
447,5,6.9566846
448,5,7.1265683
449,5,6.3144026
450,5,6.2279844
