,refrigerator_5_Trans_V7_gradTruth,refrigerator_5_Trans_V7_predicted
0,200.0,6.1322393
1,199.0,6.586735
2,199.0,6.786841
3,199.0,6.7369003
4,199.0,6.680477
5,200.0,6.632027
6,200.0,6.5560884
7,197.0,6.5755124
8,201.0,6.565834
9,197.0,6.5804415
10,200.0,6.4997845
11,198.0,6.555682
12,199.0,6.594852
13,196.0,6.562314
14,241.0,6.682719
15,237.0,12.300663
16,240.0,10.091056
17,197.0,6.815158
18,200.0,6.725035
19,198.0,6.5780516
20,200.0,6.747129
21,198.0,6.554488
22,198.0,6.587897
23,200.0,6.9227157
24,197.0,6.5399547
25,196.0,6.5259924
26,201.0,6.759956
27,196.0,6.6497145
28,240.0,6.5419455
29,198.0,12.985135
30,198.0,6.950892
31,201.0,6.0204854
32,196.0,6.752507
33,196.0,6.7543883
34,200.0,6.501961
35,196.0,6.5350056
36,200.0,6.5717688
37,198.0,6.553067
38,199.0,6.5084248
39,199.0,6.53753
40,197.0,6.539858
41,200.0,6.5451164
42,196.0,6.5306025
43,200.0,6.544487
44,199.0,6.5289683
45,198.0,6.5320807
46,197.0,6.517622
47,198.0,7.103836
48,197.0,6.920427
49,199.0,7.050726
50,195.0,7.0400276
51,199.0,7.0837116
52,195.0,7.065972
53,199.0,7.0589395
54,199.0,7.0616655
55,195.0,7.0674734
56,199.0,7.063611
57,196.0,7.0664506
58,198.0,7.071212
59,196.0,7.0724773
60,196.0,7.0729537
61,197.0,7.077911
62,197.0,7.105336
63,195.0,7.132691
64,197.0,7.11532
65,195.0,7.098073
66,197.0,7.0888352
67,194.0,7.0860515
68,195.0,7.083199
69,196.0,7.0758944
70,194.0,7.0627036
71,197.0,7.063824
72,193.0,7.0540485
73,198.0,7.0517874
74,194.0,7.0474377
75,195.0,7.045572
76,195.0,7.0750365
77,196.0,7.0975127
78,193.0,7.0669746
79,197.0,7.0556464
80,196.0,7.045298
81,194.0,7.046353
82,193.0,7.0409436
83,197.0,7.035589
84,193.0,7.030911
85,195.0,7.0222487
86,193.0,7.0134144
87,194.0,7.010634
88,195.0,7.008609
89,191.0,7.0076237
90,196.0,7.010353
91,194.0,7.025932
92,194.0,7.042205
93,194.0,7.044948
94,194.0,7.0380683
95,191.0,7.0361867
96,195.0,7.0320287
97,192.0,7.029405
98,194.0,7.0282345
99,193.0,7.032243
100,194.0,7.0281544
101,192.0,7.0312533
102,193.0,7.0319705
103,194.0,7.032902
104,190.0,7.0263996
105,194.0,7.0344396
106,192.0,7.029541
107,193.0,7.031825
108,190.0,7.03181
109,193.0,7.0269313
110,191.0,7.03309
111,191.0,7.0319505
112,193.0,7.0301614
113,190.0,7.0321712
114,193.0,7.028468
115,193.0,7.0332084
116,192.0,7.0288773
117,194.0,7.0276523
118,189.0,7.032239
119,192.0,7.031541
120,190.0,7.0265484
121,192.0,7.0307393
122,191.0,7.032363
123,189.0,7.028543
124,191.0,7.027354
125,191.0,7.032638
126,193.0,7.0301867
127,189.0,7.0333343
128,191.0,7.02816
129,191.0,7.027783
130,188.0,7.033718
131,193.0,7.0296435
132,189.0,7.029121
133,189.0,7.029323
134,191.0,7.0317845
135,189.0,7.0306
136,191.0,7.028111
137,191.0,7.0281596
138,190.0,7.0300636
139,190.0,7.032206
140,192.0,7.2601767
141,190.0,7.0945916
142,188.0,6.9341173
143,191.0,7.5583215
144,192.0,6.998385
145,188.0,6.9270396
146,190.0,6.9304447
147,187.0,6.9448986
148,191.0,7.267933
149,189.0,6.9507074
150,187.0,7.0817924
151,191.0,7.0397086
152,190.0,7.060318
153,188.0,7.0570965
154,190.0,7.0502033
155,187.0,7.0555887
156,188.0,7.053725
157,191.0,7.0503416
158,188.0,7.0512495
159,189.0,7.0517473
160,190.0,7.051447
161,188.0,7.0484567
162,189.0,7.0511065
163,190.0,7.0505714
164,187.0,7.0457
165,188.0,7.046008
166,190.0,7.045028
167,190.0,7.0457773
168,189.0,7.0461063
169,186.0,7.043807
170,187.0,7.0433245
171,189.0,7.0460324
172,188.0,7.0429177
173,189.0,7.0443306
174,189.0,7.0445347
175,186.0,7.042235
176,188.0,7.0411587
177,190.0,7.0422277
178,187.0,7.0427704
179,189.0,7.043598
180,191.0,7.0423737
181,186.0,7.041902
182,187.0,7.0405607
183,190.0,7.0423117
184,187.0,7.0411153
185,187.0,7.041911
186,189.0,7.0376782
187,185.0,7.0393677
188,187.0,7.0527363
189,188.0,7.0427337
190,188.0,7.0410028
191,185.0,7.0484543
192,187.0,7.0379553
193,186.0,7.038487
194,188.0,7.039127
195,190.0,7.1511207
196,187.0,6.9288096
197,186.0,6.9349604
198,188.0,7.640506
199,189.0,6.9919004
200,187.0,6.9432807
201,186.0,6.955065
202,189.0,6.945073
203,189.0,6.9397764
204,185.0,7.26798
205,185.0,6.951816
206,187.0,7.033074
207,186.0,7.038183
208,186.0,7.0635896
209,186.0,7.0549974
210,188.0,7.0529575
211,186.0,7.0548086
212,185.0,7.0530977
213,187.0,7.054283
214,188.0,7.0519485
215,184.0,7.04975
216,184.0,7.051083
217,187.0,7.052148
218,185.0,7.0485053
219,185.0,7.0494127
220,189.0,7.0492253
221,187.0,7.049416
222,184.0,7.0456614
223,184.0,7.048468
224,188.0,7.046882
225,186.0,7.0462947
226,184.0,7.0452185
227,186.0,7.0469007
228,188.0,7.046985
229,185.0,7.0413632
230,186.0,7.0457625
231,185.0,7.0450215
232,185.0,7.041183
233,184.0,7.044081
234,187.0,7.0428696
235,185.0,7.0406675
236,187.0,7.040732
237,185.0,7.045106
238,183.0,7.0416284
239,185.0,7.0392904
240,186.0,7.0449433
241,185.0,7.0406203
242,184.0,7.0363936
243,185.0,7.053104
244,186.0,7.042853
245,185.0,7.0416694
246,184.0,7.045136
247,186.0,7.043688
248,187.0,7.0365644
249,184.0,7.036025
250,184.0,7.131224
251,186.0,6.905047
252,187.0,6.9473186
253,185.0,7.5459013
254,184.0,6.9802313
255,184.0,6.9443803
256,185.0,6.9538894
257,187.0,6.935002
258,184.0,6.935257
259,186.0,6.9361477
260,186.0,7.2704434
261,183.0,6.9550705
262,183.0,7.0001225
263,186.0,7.042572
264,185.0,7.066023
265,182.0,7.0561337
266,185.0,7.055823
267,187.0,7.0569086
268,181.0,7.0559196
269,180.0,7.0368257
270,185.0,7.045301
271,185.0,7.039526
272,178.0,7.0468874
273,183.0,7.051123
274,183.0,7.0124702
275,183.0,6.9829464
276,180.0,6.965053
277,183.0,6.9577303
278,185.0,6.966562
279,181.0,6.9539566
280,182.0,6.967393
281,181.0,6.970881
282,181.0,6.9601107
283,180.0,6.96508
284,184.0,6.968152
285,185.0,6.95989
286,184.0,6.9694333
287,180.0,6.9668617
288,182.0,6.9639626
289,182.0,6.953682
290,184.0,6.923713
291,179.0,6.9158554
292,184.0,6.93271
293,184.0,6.921483
294,184.0,6.92328
295,182.0,6.9299684
296,180.0,6.9180493
297,182.0,6.9333544
298,186.0,6.892411
299,179.0,6.9301095
300,180.0,6.9242706
301,182.0,6.9253297
302,182.0,6.9301457
303,180.0,7.0313497
304,184.0,7.3697147
305,185.0,6.7155476
306,183.0,6.7339087
307,183.0,6.750445
308,180.0,6.6746616
309,183.0,6.649228
310,181.0,6.6408257
311,181.0,6.6328974
312,179.0,6.6348524
313,182.0,7.257006
314,178.0,6.912395
315,184.0,6.9152784
316,183.0,6.8995533
317,184.0,6.899577
318,181.0,6.9129148
319,181.0,6.9203534
320,183.0,6.8996973
321,184.0,6.915782
322,182.0,6.916769
323,181.0,6.9206533
324,181.0,6.9027977
325,184.0,6.9124093
326,182.0,6.920369
327,178.0,6.922544
328,180.0,6.9185133
329,179.0,6.9085903
330,183.0,6.9220204
331,181.0,6.9245553
332,180.0,6.908053
333,179.0,6.9229436
334,180.0,6.914181
335,184.0,6.9288073
336,183.0,6.926051
337,182.0,6.903305
338,182.0,6.91354
339,179.0,6.930052
340,182.0,6.9114666
341,183.0,6.9223075
342,183.0,6.9131646
343,179.0,6.917712
344,179.0,6.919593
345,181.0,6.932736
346,181.0,6.9425697
347,183.0,6.9438586
348,177.0,6.9651113
349,180.0,6.971351
350,181.0,6.9659033
351,182.0,6.958833
352,182.0,6.974847
353,181.0,6.967651
354,179.0,6.9579844
355,183.0,7.3217735
356,184.0,7.4022117
