,washer_dryer_10_Trans_Init_Bi_gradTruth,washer_dryer_10_Trans_Init_Bi_predicted
0,0.0,0.125855
1,0.0,0.12902716
2,0.0,0.12666503
3,0.0,0.12826005
4,0.0,0.14151242
5,0.0,0.14658955
6,0.0,0.14848128
7,0.0,0.14387909
8,0.0,0.1371558
9,0.0,0.13615707
10,0.0,0.13820079
11,0.0,0.13463882
12,0.0,0.13106611
13,0.0,0.12413636
14,0.0,0.12399176
15,0.0,0.10203722
16,0.0,0.11552349
17,0.0,0.12239924
18,0.0,0.1843957
19,0.0,0.13586465
20,0.0,0.12584904
21,0.0,0.11877957
22,0.0,0.13302448
23,0.0,0.12076405
24,0.0,0.13036326
25,0.0,0.12668934
26,0.0,0.1272712
27,0.0,0.12604311
28,0.0,0.1287457
29,0.0,0.10026088
30,0.0,0.13874903
31,0.0,0.16798142
32,0.0,0.11336091
33,0.0,0.11860874
34,0.0,0.1163421
35,0.0,0.12607113
36,0.0,0.12546006
37,0.0,0.16328827
38,0.0,0.16590157
39,0.0,0.16708615
40,0.0,0.16422394
41,0.0,0.16356292
42,0.0,0.16399601
43,0.0,0.16357222
44,0.0,0.16370693
45,0.0,0.16449025
46,0.0,1.6417388
47,0.0,1.1596886
48,0.0,0.94927406
49,0.0,0.9529886
50,0.0,0.7202004
51,0.0,0.94890964
52,0.0,0.8140625
53,0.0,0.9420626
54,0.0,0.8092027
55,0.0,0.939252
56,0.0,0.8490776
57,0.0,0.9061712
58,0.0,0.8527849
59,0.0,0.9065839
60,0.0,0.84972775
61,0.0,0.90081036
62,0.0,0.8681333
63,0.0,0.8940542
64,0.0,0.86381817
65,0.0,0.8813472
66,0.0,0.8727603
67,0.0,0.8940886
68,0.0,0.88137484
69,0.0,0.93950593
70,0.0,0.902416
71,0.0,0.87563384
72,0.0,0.8437929
73,0.0,0.8673848
74,0.0,0.8677758
75,0.0,0.8606678
76,0.0,0.85212934
77,0.0,0.86926854
78,0.0,0.86597764
79,0.0,0.87541234
80,0.0,0.86521244
81,0.0,0.8615042
82,0.0,0.8696544
83,0.0,0.86959434
84,0.0,0.87156165
85,0.0,0.86904824
86,0.0,0.86956024
87,0.0,0.8786957
88,0.0,0.884763
89,0.0,0.87651896
90,0.0,0.89125884
91,0.0,0.92647886
92,0.0,0.9366138
93,0.0,1.0416598
94,0.0,1.067122
95,0.0,1.0745782
96,0.0,1.0630685
97,0.0,1.05144
98,0.0,1.0461851
99,0.0,1.0562947
100,0.0,1.0517669
101,0.0,1.0497462
102,0.0,1.0628369
103,0.0,1.0701251
104,0.0,1.0393177
105,0.0,1.049241
106,0.0,1.05455
107,0.0,1.0631453
108,0.0,1.065784
109,0.0,1.0386218
110,0.0,1.0511783
111,0.0,1.0636023
112,0.0,1.0552979
113,0.0,1.0658259
114,0.0,1.0483748
115,0.0,1.0515764
116,0.0,1.0447128
117,0.0,1.0484982
118,0.0,1.0635593
119,0.0,1.066218
120,0.0,1.0399452
121,0.0,1.0489308
122,0.0,1.070218
123,0.0,1.054279
124,0.0,1.0472752
125,0.0,1.0605649
126,0.0,1.0526087
127,0.0,1.0699835
128,0.0,1.0526834
129,0.0,1.039363
130,0.0,1.0587124
131,0.0,1.0571584
132,0.0,1.0475554
133,0.0,1.0500016
134,0.0,1.0573965
135,0.0,1.0609987
136,0.0,1.0544094
137,0.0,1.0488108
138,0.0,1.0507426
139,0.0,1.0577521
140,0.0,2.3258982
141,0.0,0.36689594
142,0.0,1.090064
143,0.0,0.5247688
144,0.0,0.88444614
145,0.0,0.6358104
146,0.0,0.8104676
147,0.0,0.6913965
148,0.0,1.0944145
149,0.0,0.9492588
150,0.0,1.0686015
151,0.0,0.82448876
152,0.0,0.99528563
153,0.0,0.9228432
154,0.0,1.0155598
155,0.0,0.9447831
156,0.0,1.0052544
157,0.0,0.9633186
158,0.0,0.99551296
159,0.0,0.97837067
160,0.0,0.98924327
161,6.0,0.96342504
162,6.0,0.9730513
163,6.0,0.98163795
164,6.0,0.97934663
165,6.0,0.97835207
166,6.0,0.9740156
167,6.0,0.9836037
168,6.0,0.99567664
169,6.0,0.9831455
170,6.0,0.9741777
171,6.0,0.9895551
172,6.0,0.9761534
173,6.0,0.98092353
174,6.0,0.9890516
175,6.0,0.9870833
176,6.0,0.97991955
177,6.0,0.9748243
178,6.0,0.9779886
179,6.0,0.99066067
180,6.0,0.99058497
181,6.0,0.98330724
182,6.0,0.97657883
183,6.0,0.97654593
184,6.0,0.98047185
185,6.0,0.99095833
186,6.0,0.98297775
187,6.0,0.97630894
188,6.0,1.0484337
189,6.0,1.0832523
190,6.0,1.0784274
191,6.0,1.0903577
192,6.0,1.0703564
193,6.0,1.0641919
194,6.0,1.0646603
195,6.0,2.3309035
196,6.0,0.38195184
197,6.0,1.0972621
198,6.0,0.52661777
199,6.0,0.8863529
200,6.0,0.6443577
201,6.0,0.8192419
202,6.0,0.69852066
203,6.0,0.7864312
204,6.0,1.0622092
205,6.0,0.9827906
206,6.0,1.0391717
207,6.0,0.85305095
208,6.0,0.9783572
209,6.0,0.94280386
210,6.0,1.0182111
211,6.0,0.96346617
212,6.0,0.9912853
213,6.0,0.97422373
214,6.0,0.9929199
215,6.0,0.967265
216,6.0,0.9825804
217,6.0,0.99404
218,6.0,0.9887482
219,6.0,0.97768843
220,6.0,0.97931755
221,6.0,0.98986936
222,6.0,0.97675216
223,5.0,0.9810312
224,6.0,0.9850441
225,6.0,0.9848019
226,6.0,0.97619414
227,6.0,0.9808688
228,6.0,0.99875224
229,6.0,0.9761585
230,6.0,0.97901905
231,6.0,0.9861709
232,6.0,0.97097075
233,6.0,0.98315036
234,6.0,0.9952848
235,6.0,0.9901943
236,6.0,0.97051895
237,6.0,0.9928874
238,5.0,0.9937439
239,6.0,0.971223
240,6.0,0.98553336
241,5.0,0.9915072
242,6.0,0.97147715
243,6.0,1.0477461
244,6.0,1.0858525
245,6.0,1.0829408
246,6.0,1.0603402
247,6.0,1.0790118
248,6.0,1.0771924
249,6.0,1.0650827
250,6.0,2.3312588
251,6.0,0.39176467
252,6.0,1.0983565
253,6.0,0.53021777
254,6.0,0.88240504
255,6.0,0.6473789
256,5.0,0.8141798
257,6.0,0.69499624
258,6.0,0.78699696
259,6.0,0.71796703
260,5.0,1.0897024
261,6.0,0.9468256
262,6.0,1.0592725
263,6.0,0.84340656
264,6.0,0.9818469
265,6.0,0.94460726
266,6.0,1.0184314
267,5.0,0.95855963
268,488.0,1.0010902
269,540.0,1.1078483
270,439.0,0.98629427
271,453.0,0.9284774
272,502.0,0.9308355
273,477.0,0.9292017
274,535.0,0.93027306
275,427.0,0.92952657
276,565.0,0.93002594
277,358.0,0.929731
278,613.0,0.92992914
279,341.0,0.9297545
280,552.0,0.92987275
281,395.0,0.92978704
282,382.0,0.92984116
283,577.0,0.92983913
284,467.0,0.9298756
285,352.0,0.92982006
286,522.0,0.9298414
287,449.0,0.9298613
288,436.0,0.9298328
289,431.0,0.92981064
290,374.0,0.92988133
291,333.0,0.92989683
292,354.0,0.9300711
293,574.0,0.9302231
294,414.0,0.93025374
295,482.0,0.9302201
296,505.0,0.930207
297,531.0,0.9317943
298,372.0,1.0084305
299,378.0,1.0358617
